edad;abandono;viajes;departamento;distancia_casa;educacion;carrera;empleados;id;satisfaccion_entorno;sexo;implicacion;nivel_laboral;puesto;satisfaccion_trabajo;estado_civil;salario_mes;num_empresas_anteriores;mayor_edad;horas_extra;incremento_salario_porc;evaluacion;satisfaccion_companeros;horas_quincena;nivel_acciones;anos_experiencia;num_formaciones_ult_ano;conciliacion;anos_compania;anos_en_puesto;anos_desde_ult_promocion;anos_con_manager_actual
34;No;Travel_Rarely;Research & Development;7;Universitaria;Life Sciences;1;28;Baja;3;Alta;3;Research Director;Alta;Single;11994;0;Y;No;11;Alta;Alta;80;0;13;4;#N/D;12;NA;2;11
21;No;Travel_Rarely;Research & Development;15;Universitaria;Life Sciences;1;30;Alta;3;Alta;1;Research Scientist;Alta;Single;1232;1;Y;No;14;Alta;Muy_Alta;80;0;0;6;#N/D;0;NA;0;0
34;Yes;Travel_Rarely;Research & Development;6;Universitaria;Medical;1;31;Media;NA;Alta;1;Research Scientist;#N/D;Single;2960;2;Y;No;11;Alta;Alta;80;0;8;2;#N/D;4;NA;1;3
53;No;Travel_Rarely;Research & Development;5;Universitaria;Other;1;32;Alta;3;Alta;5;Manager;Alta;Divorced;19094;4;Y;No;11;Alta;Muy_Alta;80;1;26;3;#N/D;14;NA;4;8
32;Yes;Travel_Frequently;Research & Development;16;Primaria;Life Sciences;1;33;Media;1;Baja;1;Research Scientist;#N/D;Single;3919;1;Y;Yes;22;Muy_Alta;Media;80;0;10;5;#N/D;10;NA;6;7
42;No;Travel_Rarely;Sales;8;Universitaria;Marketing;1;35;Alta;3;Alta;2;Sales Executive;Alta;Married;6825;0;Y;No;11;Alta;Muy_Alta;80;1;10;2;Alta;9;3;4;2
44;No;Travel_Rarely;Research & Development;7;Secundaria;Medical;1;36;Baja;2;Media;3;Healthcare Representative;Media;Married;10248;3;Y;No;14;Alta;Muy_Alta;80;1;24;4;#N/D;22;2;5;17
46;No;Travel_Rarely;Sales;2;Universitaria;Marketing;1;38;Media;NA;Alta;5;Manager;Alta;Single;18947;3;Y;No;12;Alta;Muy_Alta;80;0;22;2;Alta;2;NA;2;1
33;No;Travel_Rarely;Research & Development;2;Universitaria;Medical;1;39;Alta;3;Alta;1;Laboratory Technician;Alta;Single;2496;4;Y;No;11;Alta;Muy_Alta;80;0;7;3;#N/D;1;NA;0;0
44;No;Travel_Rarely;Research & Development;10;Universitaria;Other;1;40;Muy_Alta;3;Alta;2;Healthcare Representative;Alta;Married;6465;2;Y;Yes;13;Alta;Muy_Alta;80;0;9;5;Alta;4;NA;1;3
30;No;Travel_Rarely;Research & Development;9;#N/D;Medical;1;41;Muy_Alta;NA;#N/D;1;Laboratory Technician;#N/D;Single;2206;1;Y;No;13;Alta;Baja;80;0;10;5;#N/D;10;NA;1;8
39;Yes;Travel_Rarely;Sales;5;Universitaria;Technical Degree;1;42;Muy_Alta;3;Alta;2;Sales Representative;Alta;Married;2086;3;Y;No;14;Alta;Alta;80;1;19;6;#N/D;1;NA;0;0
24;Yes;Travel_Rarely;Research & Development;1;Universitaria;Medical;1;45;Media;3;Alta;1;Research Scientist;Alta;Married;2293;2;Y;Yes;16;Alta;Baja;80;1;6;2;#N/D;2;NA;2;0
43;No;Travel_Rarely;Research & Development;2;Master;Medical;1;46;Muy_Alta;4;Muy_Alta;1;Research Scientist;Muy_Alta;Divorced;2645;1;Y;No;12;Alta;Muy_Alta;80;2;6;3;Muy_Alta;5;NA;1;4
50;Yes;Travel_Rarely;Sales;3;Secundaria;Marketing;1;47;Baja;2;Media;1;Sales Representative;Media;Married;2683;1;Y;Yes;14;Alta;Alta;80;0;3;2;Media;3;NA;0;2
35;No;Travel_Rarely;Sales;2;Universitaria;Marketing;1;49;Muy_Alta;3;Alta;1;Sales Representative;Alta;Married;2014;1;Y;No;13;Alta;Baja;80;0;2;3;#N/D;2;NA;2;2
36;No;Travel_Rarely;Research & Development;5;Secundaria;Life Sciences;1;51;Media;2;Media;1;Research Scientist;Media;Married;3419;9;Y;Yes;14;Alta;Muy_Alta;80;1;6;3;#N/D;1;NA;0;0
33;No;Travel_Frequently;Sales;1;Master;Life Sciences;1;52;Alta;4;Muy_Alta;2;Sales Executive;Muy_Alta;Married;5376;2;Y;No;19;Alta;Baja;80;2;10;3;#N/D;5;NA;1;3
35;No;Travel_Rarely;Research & Development;4;Universitaria;Other;1;53;Alta;3;Alta;1;Laboratory Technician;Alta;Divorced;1951;1;Y;No;12;Alta;Alta;80;1;1;3;#N/D;1;NA;0;0
27;No;Travel_Rarely;Research & Development;2;Universitaria;Life Sciences;1;54;Muy_Alta;3;Alta;1;Laboratory Technician;Alta;Divorced;2341;1;Y;No;13;Alta;Muy_Alta;80;1;1;6;#N/D;1;NA;0;0
26;Yes;Travel_Rarely;Research & Development;25;#N/D;Life Sciences;1;55;Baja;NA;Baja;1;Laboratory Technician;Baja;Single;2293;1;Y;No;12;Alta;Alta;80;0;1;2;#N/D;1;NA;0;1
27;No;Travel_Frequently;Sales;8;Universitaria;Life Sciences;1;56;Muy_Alta;3;Alta;3;Sales Executive;Alta;Single;8726;1;Y;No;15;Alta;Muy_Alta;80;0;9;0;#N/D;9;3;1;7
30;No;Travel_Frequently;Research & Development;1;Universitaria;Medical;1;57;Alta;NA;Alta;2;Laboratory Technician;Alta;Single;4011;1;Y;No;23;Muy_Alta;Muy_Alta;80;0;12;2;Alta;12;NA;3;7
41;Yes;Travel_Rarely;Research & Development;12;Universitaria;Technical Degree;1;58;Media;3;Alta;5;Research Director;Alta;Married;19545;1;Y;No;12;Alta;Muy_Alta;80;0;23;0;#N/D;22;NA;15;8
34;No;Non-Travel;Sales;23;Universitaria;Marketing;1;60;Media;3;Alta;2;Sales Executive;Alta;Single;4568;0;Y;No;20;Muy_Alta;Alta;80;0;10;2;#N/D;9;NA;8;7
37;No;Travel_Rarely;Research & Development;19;Universitaria;Life Sciences;1;61;Media;3;Alta;1;Research Scientist;Alta;Married;3022;4;Y;No;21;Muy_Alta;Baja;80;0;8;1;#N/D;1;NA;0;0
46;No;Travel_Frequently;Sales;5;Universitaria;Marketing;1;62;Baja;NA;Alta;2;Sales Executive;Alta;Single;5772;4;Y;Yes;21;Muy_Alta;Alta;80;0;14;4;#N/D;9;NA;0;8
35;No;Travel_Rarely;Research & Development;8;Master;Life Sciences;1;63;Muy_Alta;4;Muy_Alta;1;Laboratory Technician;Muy_Alta;Married;2269;1;Y;No;19;Alta;Muy_Alta;80;0;1;2;Muy_Alta;1;4;0;1
48;Yes;Travel_Rarely;Research & Development;1;Secundaria;Life Sciences;1;64;Baja;2;Media;3;Laboratory Technician;Media;Single;5381;9;Y;Yes;13;Alta;Muy_Alta;80;0;23;2;#N/D;1;NA;0;0
28;Yes;Travel_Rarely;Research & Development;5;Universitaria;Technical Degree;1;65;Alta;NA;Alta;1;Laboratory Technician;Alta;Single;3441;1;Y;Yes;13;Alta;Alta;80;0;2;3;#N/D;2;3;2;2
44;No;Travel_Rarely;Sales;1;Universitaria;Marketing;1;68;Media;3;Alta;2;Sales Executive;Alta;Divorced;5454;5;Y;Yes;21;Muy_Alta;Alta;80;1;9;2;#N/D;4;NA;1;3
35;No;Non-Travel;Research & Development;11;#N/D;Medical;1;70;Alta;2;Media;3;Healthcare Representative;Media;Married;9884;2;Y;Yes;13;Alta;Alta;80;1;10;3;#N/D;4;NA;2;3
26;No;Travel_Rarely;Sales;23;Secundaria;Marketing;1;72;Alta;2;Media;2;Sales Executive;Media;Married;4157;7;Y;Yes;19;Alta;Alta;80;1;5;2;#N/D;2;NA;0;0
33;No;Travel_Frequently;Research & Development;1;Universitaria;Life Sciences;1;73;Baja;3;Alta;3;Research Director;Alta;Single;13458;1;Y;Yes;12;Alta;Alta;80;0;15;1;#N/D;15;NA;8;12
35;No;Travel_Frequently;Sales;18;Universitaria;Life Sciences;1;74;Media;3;Alta;3;Sales Executive;Alta;Married;9069;1;Y;No;22;Muy_Alta;Muy_Alta;80;1;9;3;#N/D;9;NA;1;8
35;No;Travel_Rarely;Research & Development;23;Universitaria;Medical;1;75;Alta;NA;Alta;1;Laboratory Technician;Alta;Married;4014;3;Y;Yes;15;Alta;Alta;80;1;4;3;#N/D;2;NA;2;2
31;No;Travel_Rarely;Research & Development;7;Universitaria;Life Sciences;1;76;Muy_Alta;3;Alta;2;Laboratory Technician;Alta;Divorced;5915;3;Y;No;22;Muy_Alta;Muy_Alta;80;1;10;3;#N/D;7;NA;1;7
37;No;Travel_Rarely;Research & Development;1;#N/D;Life Sciences;1;77;Baja;2;Media;2;Manufacturing Director;Media;Divorced;5993;1;Y;No;18;Alta;Alta;80;1;7;2;#N/D;7;NA;0;7
32;No;Travel_Rarely;Research & Development;1;Universitaria;Medical;1;78;Baja;3;Alta;2;Manufacturing Director;Alta;Married;6162;1;Y;Yes;22;Muy_Alta;Media;80;1;9;3;#N/D;9;NA;7;8
38;No;Travel_Frequently;Research & Development;29;Universitaria;Life Sciences;1;79;Muy_Alta;3;Alta;2;Laboratory Technician;Alta;Single;2406;1;Y;No;11;Alta;Muy_Alta;80;0;10;2;#N/D;10;3;9;9
50;No;Travel_Rarely;Research & Development;7;Secundaria;Medical;1;80;Media;NA;Media;5;Research Director;Media;Divorced;18740;5;Y;Yes;12;Alta;Muy_Alta;80;1;29;2;#N/D;27;NA;13;8
59;No;Travel_Rarely;Sales;25;Universitaria;Life Sciences;1;81;Baja;3;Alta;3;Sales Executive;Alta;Single;7637;7;Y;No;11;Alta;Muy_Alta;80;0;28;3;Alta;21;NA;7;9
36;No;Travel_Rarely;Research & Development;8;Universitaria;Technical Degree;1;83;Alta;3;Alta;3;Healthcare Representative;Alta;Divorced;10096;1;Y;No;13;Alta;Media;80;3;17;2;#N/D;17;NA;12;8
55;No;Travel_Rarely;Research & Development;8;Universitaria;Medical;1;84;Muy_Alta;3;Alta;4;Manager;Alta;Divorced;14756;2;Y;Yes;14;Alta;Alta;80;3;21;2;#N/D;5;NA;0;2
36;No;Travel_Frequently;Research & Development;11;#N/D;Life Sciences;1;85;Media;NA;#N/D;2;Manufacturing Director;#N/D;Single;6499;1;Y;No;13;Alta;Alta;80;0;6;3;#N/D;6;NA;0;3
45;No;Travel_Rarely;Research & Development;7;Universitaria;Life Sciences;1;86;Media;3;Alta;3;Research Scientist;Alta;Divorced;9724;2;Y;No;17;Alta;Alta;80;1;25;2;Alta;1;3;0;0
35;No;Travel_Frequently;Research & Development;1;#N/D;Medical;1;88;Media;3;Alta;1;Research Scientist;Alta;Married;2194;4;Y;No;13;Alta;Muy_Alta;80;1;5;2;#N/D;3;NA;1;2
36;Yes;Travel_Rarely;Research & Development;9;Secundaria;Medical;1;90;Muy_Alta;2;Media;1;Research Scientist;Media;Married;3388;0;Y;Yes;17;Alta;Baja;80;1;2;0;#N/D;1;NA;0;0
59;No;Travel_Frequently;Sales;1;Secundaria;Life Sciences;1;91;Baja;NA;Media;2;Sales Executive;Media;Single;5473;7;Y;No;11;Alta;Muy_Alta;80;0;20;2;#N/D;4;NA;1;3
29;No;Travel_Rarely;Research & Development;2;Universitaria;Life Sciences;1;94;Alta;3;Alta;1;Research Scientist;Alta;Married;2703;0;Y;No;23;Muy_Alta;Muy_Alta;80;1;6;3;Alta;5;3;0;4
31;No;Travel_Rarely;Research & Development;1;Universitaria;Medical;1;95;Alta;3;Alta;1;Research Scientist;Alta;Single;2501;1;Y;No;17;Alta;Media;80;0;1;4;#N/D;1;NA;1;0
32;No;Travel_Rarely;Research & Development;1;Universitaria;Life Sciences;1;96;Media;3;Alta;2;Research Scientist;Alta;Married;6220;1;Y;No;17;Alta;Media;80;2;10;3;#N/D;10;NA;0;9
36;No;Travel_Rarely;Research & Development;6;Master;Life Sciences;1;97;Media;4;Muy_Alta;1;Laboratory Technician;Muy_Alta;Married;3038;3;Y;No;12;Alta;Media;80;0;5;3;Muy_Alta;1;NA;0;0
31;No;Travel_Rarely;Research & Development;8;Universitaria;Life Sciences;1;98;Alta;3;Alta;2;Manufacturing Director;Alta;Single;4424;1;Y;No;23;Muy_Alta;Muy_Alta;80;0;11;2;#N/D;11;3;1;8
35;No;Travel_Rarely;Sales;1;Secundaria;Marketing;1;100;Alta;2;Media;2;Sales Executive;Media;Single;4312;0;Y;No;14;Alta;Media;80;0;16;2;Media;15;NA;2;8
45;No;Travel_Rarely;Research & Development;6;Universitaria;Other;1;101;Muy_Alta;NA;Alta;3;Research Director;Alta;Married;13245;4;Y;Yes;14;Alta;Media;80;0;17;3;Alta;0;NA;0;0
37;No;Travel_Rarely;Research & Development;7;Universitaria;Medical;1;102;Baja;3;Alta;3;Research Director;Alta;Single;13664;4;Y;No;13;Alta;Baja;80;0;16;3;Alta;5;NA;0;2
46;No;Travel_Rarely;Human Resources;5;Universitaria;Medical;1;103;Media;3;Alta;2;Human Resources;Alta;Divorced;5021;8;Y;Yes;22;Muy_Alta;Muy_Alta;80;1;16;2;#N/D;4;NA;0;2
30;No;Travel_Rarely;Research & Development;1;Secundaria;Life Sciences;1;104;Muy_Alta;NA;Media;2;Laboratory Technician;Media;Married;5126;1;Y;Yes;12;Alta;Alta;80;2;10;1;#N/D;10;2;3;0
35;No;Travel_Rarely;Research & Development;1;Secundaria;Medical;1;105;Media;2;Media;1;Research Scientist;Media;Single;2859;1;Y;No;18;Alta;Baja;80;0;6;3;#N/D;6;NA;0;4
55;No;Travel_Rarely;Sales;1;Universitaria;Life Sciences;1;106;Baja;3;Alta;3;Sales Executive;Alta;Married;10239;3;Y;No;14;Alta;Muy_Alta;80;1;24;4;#N/D;1;NA;1;0
38;No;Non-Travel;Research & Development;6;Primaria;Medical;1;107;Media;1;Baja;2;Research Scientist;Baja;Divorced;5329;7;Y;Yes;12;Alta;Muy_Alta;80;3;17;3;#N/D;13;NA;1;9
34;No;Travel_Rarely;Research & Development;1;Universitaria;Medical;1;110;Baja;3;Alta;2;Manufacturing Director;Alta;Married;4325;1;Y;No;15;Alta;Alta;80;0;5;2;#N/D;5;NA;1;3
56;No;Travel_Rarely;Research & Development;7;Primaria;Life Sciences;1;112;Muy_Alta;1;Baja;3;Manufacturing Director;Baja;Single;7260;4;Y;No;11;Alta;Baja;80;0;37;3;Baja;6;NA;0;2
23;No;Travel_Rarely;Sales;2;Universitaria;Technical Degree;1;113;Alta;NA;Alta;1;Sales Representative;Alta;Divorced;2322;3;Y;No;13;Alta;Alta;80;1;3;3;Alta;0;NA;0;0
51;No;Travel_Rarely;Research & Development;9;Universitaria;Life Sciences;1;116;Muy_Alta;3;Alta;1;Laboratory Technician;Alta;Married;2075;3;Y;No;23;Muy_Alta;Media;80;2;10;4;Alta;4;NA;0;3
30;No;Travel_Rarely;Research & Development;2;Secundaria;Life Sciences;1;117;Alta;2;Media;2;Healthcare Representative;Media;Married;4152;1;Y;No;19;Alta;Baja;80;3;11;3;#N/D;11;NA;10;8
46;Yes;Travel_Rarely;Sales;9;Secundaria;Medical;1;118;Alta;2;Media;3;Sales Executive;Media;Single;9619;1;Y;No;16;Alta;Muy_Alta;80;0;9;3;Media;9;NA;4;7
40;No;Travel_Frequently;Research & Development;1;Secundaria;Life Sciences;1;119;Alta;2;Media;4;Healthcare Representative;Media;Married;13503;1;Y;No;22;Muy_Alta;Muy_Alta;80;1;22;3;#N/D;22;NA;11;11
51;No;Travel_Rarely;Sales;21;Universitaria;Marketing;1;120;Alta;3;Alta;2;Sales Executive;Alta;Single;5441;0;Y;Yes;22;Muy_Alta;Muy_Alta;80;0;11;2;Alta;10;3;1;0
30;No;Travel_Rarely;Sales;4;Secundaria;Medical;1;121;Alta;2;Media;2;Sales Executive;Media;Divorced;5209;1;Y;Yes;12;Alta;Media;80;3;11;4;#N/D;11;NA;2;7
46;No;Travel_Frequently;Research & Development;1;Secundaria;Medical;1;124;Alta;2;Media;3;Healthcare Representative;Media;Married;10673;2;Y;Yes;13;Alta;Alta;80;1;21;5;Media;10;NA;9;5
32;No;Travel_Rarely;Sales;6;Universitaria;Medical;1;125;Media;3;Alta;2;Sales Executive;Alta;Single;5010;1;Y;No;16;Alta;Baja;80;0;12;0;#N/D;11;NA;5;7
54;No;Travel_Rarely;Research & Development;2;#N/D;Technical Degree;1;126;Baja;NA;Alta;3;Research Director;Alta;Married;13549;9;Y;No;12;Alta;Baja;80;1;16;5;#N/D;4;NA;0;3
24;No;Travel_Rarely;Sales;3;Universitaria;Other;1;128;Baja;3;Alta;2;Sales Executive;Alta;Married;4999;0;Y;No;21;Muy_Alta;Baja;80;1;4;2;#N/D;3;NA;0;2
28;No;Non-Travel;Sales;4;Universitaria;Medical;1;129;Media;3;Alta;2;Sales Executive;Alta;Married;4221;1;Y;No;15;Alta;Media;80;0;5;3;#N/D;5;3;0;4
58;No;Travel_Rarely;Sales;10;Universitaria;Medical;1;131;Muy_Alta;NA;Alta;4;Sales Executive;Alta;Single;13872;0;Y;No;13;Alta;Alta;80;0;38;1;Alta;37;NA;1;8
44;No;Non-Travel;Research & Development;23;Universitaria;Medical;1;132;Media;3;Alta;2;Laboratory Technician;Alta;Married;2042;4;Y;No;12;Alta;Alta;80;1;17;3;Alta;3;3;1;2
37;Yes;Travel_Rarely;Human Resources;6;Universitaria;Human Resources;1;133;Alta;3;Alta;1;Human Resources;#N/D;Divorced;2073;4;Y;Yes;22;Muy_Alta;Muy_Alta;80;0;7;3;#N/D;3;NA;0;2
32;No;Travel_Rarely;Research & Development;1;Universitaria;Life Sciences;1;134;Muy_Alta;3;Alta;1;Research Scientist;Alta;Single;2956;1;Y;No;13;Alta;Muy_Alta;80;0;1;2;#N/D;1;NA;0;0
20;Yes;Travel_Frequently;Research & Development;6;Secundaria;Life Sciences;1;137;Muy_Alta;2;Media;1;Laboratory Technician;Media;Single;2926;1;Y;Yes;18;Alta;Media;80;0;1;5;#N/D;1;2;1;0
34;No;Travel_Rarely;Research & Development;6;Universitaria;Other;1;138;Baja;3;Alta;2;Research Scientist;Alta;Single;4809;1;Y;No;14;Alta;Alta;80;0;16;3;Alta;16;NA;2;10
37;No;Non-Travel;Research & Development;2;#N/D;Life Sciences;1;139;Alta;2;Media;2;Healthcare Representative;Media;Divorced;5163;5;Y;No;14;Alta;Muy_Alta;80;1;17;2;#N/D;1;2;0;0
59;No;Non-Travel;Human Resources;2;Secundaria;Human Resources;1;140;Alta;2;Media;5;Manager;Media;Married;18844;9;Y;No;21;Muy_Alta;Muy_Alta;80;1;30;3;#N/D;3;NA;2;2
50;No;Travel_Frequently;Research & Development;1;Universitaria;Life Sciences;1;141;Baja;3;Alta;5;Research Director;Alta;Married;18172;3;Y;Yes;19;Alta;Baja;80;0;28;1;#N/D;8;3;0;7
25;Yes;Travel_Rarely;Sales;5;Secundaria;Marketing;1;142;Alta;2;Media;2;Sales Executive;Media;Single;5744;1;Y;Yes;11;Alta;Muy_Alta;80;0;6;1;#N/D;6;2;0;3
25;No;Travel_Rarely;Research & Development;7;Secundaria;Medical;1;143;Muy_Alta;2;Media;1;Research Scientist;Media;Married;2889;1;Y;No;11;Alta;Alta;80;2;2;2;Media;2;NA;2;1
22;No;Travel_Rarely;Research & Development;15;Universitaria;Medical;1;144;Media;3;Alta;1;Laboratory Technician;Alta;Single;2871;1;Y;No;15;Alta;Alta;80;0;1;5;Alta;0;NA;0;0
51;No;Travel_Frequently;Research & Development;1;Secundaria;Medical;1;145;Baja;2;Media;3;Healthcare Representative;#N/D;Single;7484;3;Y;No;20;Muy_Alta;Alta;80;0;23;1;#N/D;13;NA;12;8
34;Yes;Travel_Frequently;Research & Development;7;Primaria;Life Sciences;1;147;Baja;1;Baja;2;Laboratory Technician;Baja;Single;6074;1;Y;Yes;24;Muy_Alta;Muy_Alta;80;0;9;3;#N/D;9;1;0;6
54;No;Non-Travel;Human Resources;26;Master;Human Resources;1;148;Muy_Alta;4;Muy_Alta;4;Manager;Muy_Alta;Single;17328;2;Y;Yes;12;Alta;Alta;80;0;23;3;#N/D;5;NA;4;4
24;No;Travel_Rarely;Research & Development;18;Universitaria;Life Sciences;1;150;Media;3;Alta;1;Laboratory Technician;Alta;Married;2774;0;Y;No;12;Alta;Alta;80;1;6;2;#N/D;5;NA;1;2
34;No;Travel_Rarely;Research & Development;6;Secundaria;Life Sciences;1;151;Alta;2;Media;2;Research Scientist;Media;Divorced;4505;6;Y;No;15;Alta;Alta;80;1;12;3;#N/D;1;NA;0;0
37;No;Travel_Rarely;Sales;3;Universitaria;Life Sciences;1;152;Alta;3;Alta;3;Sales Executive;Alta;Single;7428;2;Y;No;12;Alta;Baja;80;0;12;3;Alta;5;NA;1;3
34;No;Travel_Rarely;Research & Development;5;Secundaria;Medical;1;153;Alta;2;Media;3;Manager;Media;Single;11631;2;Y;No;12;Alta;Muy_Alta;80;0;14;6;#N/D;11;NA;5;8
36;No;Travel_Frequently;Sales;11;Universitaria;Technical Degree;1;154;Media;3;Alta;3;Sales Executive;Alta;Married;9738;0;Y;No;14;Alta;Alta;80;1;10;6;#N/D;9;NA;2;8
36;No;Travel_Rarely;Research & Development;3;Universitaria;Life Sciences;1;155;Baja;3;Alta;1;Laboratory Technician;Alta;Divorced;2835;5;Y;No;22;Muy_Alta;Baja;80;1;7;2;#N/D;1;NA;0;0
43;No;Travel_Frequently;Sales;26;Universitaria;Life Sciences;1;158;Alta;3;Alta;4;Manager;Alta;Married;16959;1;Y;Yes;12;Alta;Muy_Alta;80;2;25;3;#N/D;25;NA;4;12
30;No;Travel_Frequently;Research & Development;23;Primaria;Life Sciences;1;159;Baja;1;Baja;1;Research Scientist;Baja;Divorced;2613;1;Y;No;25;Muy_Alta;Alta;80;3;10;2;Baja;10;NA;0;9
33;No;Non-Travel;Sales;22;Universitaria;Marketing;1;160;Alta;NA;Alta;2;Sales Executive;Alta;Married;6146;0;Y;No;13;Alta;Baja;80;1;8;2;Alta;7;NA;0;7
56;Yes;Travel_Rarely;Research & Development;14;Universitaria;Life Sciences;1;161;Media;3;Alta;1;Research Scientist;Alta;Married;4963;9;Y;Yes;18;Alta;Baja;80;3;7;2;#N/D;5;NA;4;3
51;No;Travel_Rarely;Research & Development;6;Universitaria;Life Sciences;1;162;Baja;3;Alta;5;Research Director;Alta;Single;19537;7;Y;No;13;Alta;Alta;80;0;23;5;#N/D;20;NA;15;15
31;Yes;Travel_Rarely;Sales;6;Primaria;Life Sciences;1;163;Media;1;Baja;2;Sales Executive;Baja;Married;6172;4;Y;Yes;18;Alta;Media;80;0;12;3;#N/D;7;NA;7;7
